機場全稱
"ABERDEEN REGIONAL AIRPORT, SD US"
"SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT, IL US"
"AKRON CANTON AIRPORT, OH US"
"ALBANY INTERNATIONAL AIRPORT, NY US"
"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US"
"ALEXANDRIA INTERNATIONAL AIRPORT, LA US"
"ALPENA CO REGIONAL AIRPORT, MI US"
"GUAM INTERNATIONAL AIRPORT, GU GQ"
"ARCATA EUREKA AIRPORT, CA US"
"ASHEVILLE AIRPORT, NC US"
"ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US"
"ATLANTIC CITY INTERNATIONAL AIRPORT, NJ US"
"AUGUSTA BUSH FIELD AIRPORT, GA US"
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US"
"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US"
"BANGOR INTERNATIONAL AIRPORT, ME US"
"PADUCAH BARKLEY REGIONAL AIRPORT, KY US"
"BATON ROUGE METRO AIRPORT, LA US"
"BELLINGHAM INTERNATIONAL AIRPORT, WA US"
"BUTTE BERT MOONEY AIRPORT, MT US"
"BETHEL AIRPORT, AK US"
"BILLINGS INTERNATIONAL AIRPORT, MT US"
"BIRMINGHAM AIRPORT, AL US"
"BISMARCK MUNICIPAL AIRPORT, ND US"
"LEXINGTON BLUEGRASS AIRPORT, KY US"
"BOZEMAN GALLATIN FIELD AIRPORT, MT US"
"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US"
"BRAINERD CROW WING CO AIRPORT, MN US"
"BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US"
"BURLINGTON INTERNATIONAL AIRPORT, VT US"
"LANSING CAPITAL CITY AIRPORT, MI US"
"CASPER NATRONA CO AIRPORT, WY US"
"CEDAR CITY AIRPORT, UT US"
"GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US"
"SANTA ROSA SONOMA CO AIRPORT, CA US"
"CHARLESTON INTL. AIRPORT, SC US"
"CHARLOTTE DOUGLAS AIRPORT, NC US"
"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US"
"TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US"
"CHICAGO MIDWAY AIRPORT 3 SW, IL US"
"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US"
"ROCKFORD GREATER ROCKFORD AIRPORT, IL US"
"CHIPPEWA VALLEY REGIONAL AIRPORT, WI US"
"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US"
"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US"
"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US"
"LITTLE ROCK AIRPORT ADAMS FIELD, AR US"
"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US"
"COLUMBIA METROPOLITAN AIRPORT, SC US"
"COLUMBIA REGIONAL AIRPORT, MO US"
"COLUMBUS METROPOLITAN AIRPORT, GA US"
"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US"
"CYRIL E. KING AIRPORT, VI US"
"DAL FTW WSCMO AIRPORT, TX US"
"MADISON DANE CO REGIONAL AIRPORT, WI US"
"HONOLULU INTERNATIONAL AIRPORT, HI US"
"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US"
"DENVER INTERNATIONAL AIRPORT, CO US"
"DES MOINES INTERNATIONAL AIRPORT, IA US"
"DETROIT METRO AIRPORT, MI US"
"DICKINSON THEODORE ROOSEVELT REGIONAL AIRPORT, ND US"
"DOTHAN REGIONAL AIRPORT, AL US"
"DULUTH INTERNATIONAL AIRPORT, MN US"
"DURANGO LA PLATA CO AIRPORT, CO US"
"CEDAR RAPIDS MUNICIPAL AIRPORT, IA US"
"EL PASO INTERNATIONAL AIRPORT, TX US"
"ELKO REGIONAL AIRPORT, NV US"
"KAILUA KONA KE AHOLE AIRPORT, HI US"
"ELMIRA CORNING REGIONAL AIRPORT, NY US"
"ERIE INTERNATIONAL AIRPORT, PA US"
"TOLEDO EXPRESS AIRPORT, OH US"
"EVANSVILLE REGIONAL AIRPORT, IN US"
"FAIRBANKS INTERNATIONAL AIRPORT, AK US"
"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US"
"FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD, NC US"
"IRON MOUNTAIN FORD AIRPORT, MI US"
"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US"
"FORT SMITH REGIONAL AIRPORT, AR US"
"FORT WAYNE INTERNATIONAL AIRPORT, IN US"
"GAINESVILLE REGIONAL AIRPORT, FL US"
"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US"
"GENERAL WAYNE A. DOWNING INTERNATIONAL AIRPORT, IL US"
"HOUSTON INTERCONTINENTAL AIRPORT, TX US"
"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US"
"GILLETTE CAMPBELL CO AIRPORT, WY US"
"KALISPELL GLACIER AIRPORT, MT US"
"GRAND FORKS INTERNATIONAL AIRPORT, ND US"
"GREAT FALLS AIRPORT, MT US"
"GREEN BAY A S INTERNATIONAL AIRPORT, WI US"
"GRNVL SPART INTERNATIONAL AIRPORT, SC US"
"GULFPORT BILOXI AIRPORT, MS US"
"HAGERSTOWN REGIONAL AIRPORT, MD US"
"MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US"
"MCCARRAN INTERNATIONAL AIRPORT, NV US"
"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US"
"FARGO HECTOR INTERNATIONAL AIRPORT, ND US"
"HELENA AIRPORT ASOS, MT US"
"HENRY E. ROHLSEN AIRPORT, VI US"
"HILO INTERNATIONAL AIRPORT 87, HI US"
"BURBANK GLENDALE PASADENA AIRPORT, CA US"
"HANCOCK HOUGHTON CO AIRPORT, MI US"
"HUNTSVILLE INTNL AIRPORT, AL US"
"IDAHO FALLS FAA AIRPORT, ID US"
"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US"
"JACKSON INTERNATIONAL AIRPORT, MS US"
"JACKSONVILLE INTERNATIONAL AIRPORT, FL US"
"DAYTON INTERNATIONAL AIRPORT, OH US"
"JAMESTOWN MUNICIPAL AIRPORT, ND US"
"JFK INTERNATIONAL AIRPORT, NY US"
"JOHN GLENN INTERNATIONAL AIRPORT, OH US"
"SANTA ANA JOHN WAYNE AIRPORT, CA US"
"JUNEAU AIRPORT, AK US"
"KAHULUI AIRPORT, HI US"
